Company,Size,CEO,CEO email,Site,LI,Industry,Industry2,Address,City,State,Zip,Added,,,
SMT (SportsMEDIA Technology Corp),200-500,Gerard Hall,,smt.com,https://www.linkedin.com/company/457324/,too large?,,,,,,2018,,,
Spoonflower,50-200,Gart Davis,,www.spoonflower.com,https://www.linkedin.com/company/spoonflower,ecommerce,custom fabric,2810 Meridian Parkway,Durham,NC,27713,2016,,,
Sports Endeavors,200-500 ,Mike Moylan,,sportsendeavors.com,,too large?,,431 US Highway 70A,Hillsborough,NC,27278,2018,,,
Spreedly,10-50,Justin Benson,,www.spreedly.com,https://www.linkedin.com/company/spreedly-inc.,devTech,ecommerce,150 Fayetteville St,Raleigh,NC,27601,2016,,,
Stealz,10-50,Jim Zidar,,www.getstealz.com,https://www.linkedin.com/company/stealz-inc-,MarTech,,310 S Harrington St.,Raleigh,NC,27603,2016,,,
StrongKey,10-20,Jake Kiser,,http://www.strongkey.com,https://www.linkedin.com/company/strongkey/,,,,,,,2019,,,
SyncFusion,200-500,Stefan Hoenig,,syncfusion.com,https://www.linkedin.com/company/123064/,,,,,,,2018,,,
Teamworks,10-50,Zachary Maurides,,www.teamworksapp.com,https://www.linkedin.com/company/teamworksapp,SaaS,SportsTech,P.O. Box 2537,Durham,NC,27715,2016,,,
Teamworks solutions,10-50,Craig Drouillard,,www.goteamworks.com,https://www.linkedin.com/company/teamworks-solutions-inc,SaaS,Business Services,10137 Division Dr.,Raleigh,NC,27603,2016,,,
Tethis,20,Scott Bolin,,tethis.com,https://www.linkedin.com/company/2839170/,materials,,5237 Capital Blvd,Raleigh,NC,27616,2018,,,
thinQ,50-100,Aaron Leon,,http://www.thinq.com,https://www.linkedin.com/company/thinqcorp/,,,,,,,2019,,,
Three Ships Media,10-50,Zach Clayton,,www.three-ships.com,https://www.linkedin.com/company/threeships,MarTech,Agency,111 E Hargett St.,Raleigh,NC,27601,2016,,,
